,time,avg_temp,min_temp,max_temp,precipitation,location,precipitation_rounded
231,12-02-1991,23.9,16.6,32.5,0.0,Bangalore,0.0
232,14-02-1991,24.3,17.2,32.1,0.0,Bangalore,0.0
233,15-02-1991,24.2,15.5,31.5,0.0,Bangalore,0.0
234,16-02-1991,25.1,16.3,32.0,0.0,Bangalore,0.0
235,17-02-1991,24.4,17.4,31.3,0.0,Bangalore,0.0
236,18-02-1991,25.6,17.3,31.4,0.0,Bangalore,0.0
237,19-02-1991,24.5,17.1,31.4,0.0,Bangalore,0.0
238,20-02-1991,24.3,17.8,30.3,0.0,Bangalore,0.0
239,21-02-1991,23.1,17.6,29.3,0.0,Bangalore,0.0
240,22-02-1991,23.9,16.0,29.4,0.0,Bangalore,0.0
241,23-02-1991,23.6,16.9,30.9,0.0,Bangalore,0.0
242,24-02-1991,24.3,17.7,30.2,0.0,Bangalore,0.0
243,25-02-1991,22.2,18.3,30.9,0.0,Bangalore,0.0
244,26-02-1991,24.2,18.2,30.3,0.0,Bangalore,0.0
245,28-02-1991,24.8,20.6,30.9,0.0,Bangalore,0.0
246,03-03-1991,25.6,19.5,31.3,0.0,Bangalore,0.0
247,04-03-1991,26.3,19.3,32.5,0.0,Bangalore,0.0
248,05-03-1991,26.9,20.6,32.4,0.0,Bangalore,0.0
249,07-03-1991,27.1,21.6,34.5,0.0,Bangalore,0.0
250,10-03-1991,27.6,20.7,34.3,0.0,Bangalore,0.0
251,12-03-1991,27.5,20.3,35.0,0.0,Bangalore,0.0
252,13-03-1991,28.9,20.9,35.4,0.0,Bangalore,0.0
253,15-03-1991,28.4,20.4,34.8,0.0,Bangalore,0.0
254,18-03-1991,27.1,19.5,34.0,0.0,Bangalore,0.0
255,19-03-1991,27.6,20.7,35.6,0.0,Bangalore,0.0
256,21-03-1991,28.7,21.3,34.7,0.0,Bangalore,0.0
257,22-03-1991,29.4,23.0,34.4,0.0,Bangalore,0.0
258,23-03-1991,27.7,20.8,35.6,0.0,Bangalore,0.0
259,24-03-1991,26.4,21.0,35.2,0.0,Bangalore,0.0
260,25-03-1991,28.5,21.8,35.3,0.0,Bangalore,0.0
261,26-03-1991,27.1,20.6,34.7,0.0,Bangalore,0.0
262,27-03-1991,26.7,20.0,34.8,0.0,Bangalore,0.0
263,28-03-1991,25.3,19.3,33.4,0.0,Bangalore,0.0
264,29-03-1991,26.6,20.2,33.8,0.0,Bangalore,0.0
265,30-03-1991,28.7,19.4,35.0,0.0,Bangalore,0.0
266,31-03-1991,28.7,21.8,35.6,0.0,Bangalore,0.0
267,01-04-1991,26.7,21.0,35.0,0.0,Bangalore,0.0
268,02-04-1991,27.4,22.8,34.5,0.0,Bangalore,0.0
269,03-04-1991,28.4,22.3,35.2,0.0,Bangalore,0.0
270,04-04-1991,27.7,22.5,33.6,0.0,Bangalore,0.0
271,07-04-1991,25.9,19.5,31.5,10.7,Bangalore,10.0
272,08-04-1991,25.4,20.1,31.2,0.0,Bangalore,0.0
273,09-04-1991,22.8,19.1,30.5,6.1,Bangalore,10.0
274,11-04-1991,27.3,20.1,32.5,7.9,Bangalore,10.0
275,14-04-1991,27.5,22.6,34.4,0.0,Bangalore,0.0
276,15-04-1991,28.5,23.0,34.4,0.0,Bangalore,0.0
277,16-04-1991,28.9,23.0,34.6,0.0,Bangalore,0.0
278,17-04-1991,27.7,23.6,34.6,0.0,Bangalore,0.0
279,18-04-1991,28.2,23.2,35.0,0.0,Bangalore,0.0
280,19-04-1991,29.5,23.2,35.7,0.0,Bangalore,0.0
